iso3,name,nom,POP,PIB,IDH,ADOFEC,CO2HAB,EMPAGR,EMPSER,INTERN,ESPVIE,AGEMED,TELMOB,MORINF,TXMIGR,DVIEUX,TUBERC,URBANI,DJEUNE,SUBREG,LOCKED,COLFRA,COLGBR,LANGFR,LANGEN
MWI,Malawi,Malawi,18.385982,1051.124929,0.4805,134.1175,0.076111089,43.8895,42.2905,13.7822,64.029,18.08,39.0058,35.315822,-0.895,4.926,181,17.05,81.3985,Eastern Africa,1,0,1,0,1
NAM,Namibia,Namibie,2.471412,9784.576925,0.6455,65.546375,1.745046871,22.362,61.3915,51,63.5415,21.832,112.702,28.967246,-1.979,6.0905,524,50.5,62.0615,Southern Africa,0,0,0,0,1
NER,Niger,Niger,22.876775,1207.776152,0.3925,188.313625,0.103333707,75.1875,17.613,5.25049,62.222,15.151,40.6385,47.984933,0.181,5.466,87,16.45,105.101,Western Africa,1,1,0,1,0
NGA,Nigeria,Nigéria,198.419144,5145.2870585,0.5365,108.545,0.649875717,35.3355,52.438,42,54.511,18.064,88.1842,75.671511,-0.31,5.1335,219,50.75,81.861,Western Africa,0,0,1,0,1
RWA,Rwanda,Rwanda,12.4644535,2157.393527,0.5415,39.292875,0.09123742,62.826,28.3825,21.7676,68.86,20.039,78.8541,27.020781,-0.74,5.2205,59,17.25,69.7705,Eastern Africa,1,0,0,1,1
SDN,Sudan,Soudan,42.3073845,4059.533129,0.508,65.994875,0.50347675,40.023,43.4995,30.8703,65.2025,19.659,72.0079,42.142033,-1.208,6.4285,71,34.75,71.942,Northern Africa,0,0,1,0,0
SSD,S. Sudan,Sud Soudan,11.019019,,0.431,64.04425,0.170409297,57.2935,28.9535,7.97743,57.727,19.04,33.463,63.691626,-15.902,6.1685,146,19.75,75.921,Eastern Africa,1,0,1,0,0
SEN,Senegal,Sénégal,16.075343,3354.8272485,0.514,74.0845,0.73865658,30.3755,56.171,46,67.8025,18.514,104.451,31.826668,-1.277,5.7315,118,47.45,79.592,Western Africa,0,1,0,1,0
SLE,Sierra Leone,Sierra Leone,7.731678,1690.831567,0.4495,114.5485,0.140938413,55.2475,38.354,9,54.5045,19.402,88.4699,78.477185,-0.554,5.2665,298,42.3,72.827,Western Africa,0,0,1,0,1
SOM,Somalia,Somalie,15.2255655,,,101.371375,0.046569794,83.158,13.243,2.00405,57.234,16.683,48.7964,76.572229,-2.694,5.6895,262,45.3,91.7805,Eastern Africa,0,0,1,0,1
SWZ,Swaziland,Swaziland,1.1422035,8647.0887405,0.608,77.084375,1.054932715,12.5695,63.518,47,59.7955,20.729,93.5273,43.022836,-7.378,6.918,329,23.9,65.4575,Southern Africa,1,0,1,0,1
TCD,Chad,Tchad,15.7123045,1577.9726825,0.3975,163.23125,0.06553287,76.65,21.238,6.5,54.1085,16.554,45.1237,71.424186,0.131,4.919,142,23.2,92.9445,Middle Africa,1,1,0,1,0
TGO,Togo,Togo,7.985727,1574.238451,0.5125,89.42175,0.433256396,37.9915,49.1365,12.3602,60.9,19.35,77.8861,47.361632,-0.256,5.144,36,41.95,73.572,Western Africa,0,1,0,1,0
TUN,Tunisia,Tunisie,11.629962,10759.682745,0.739,7.809625,2.730311388,13.183,54.179,64.1908,76.6025,32.835,127.707,14.605439,-0.348,12.5545,35,69.1,35.93,Northern Africa,0,1,0,1,0
TZA,Tanzania,Tanzanie,57.1594525,2625.19797,0.5265,118.981875,0.221952352,65.5295,27.744,25,65.2375,17.992,77.2414,37.605413,-0.721,4.8875,253,34.15,82.3155,Eastern Africa,0,0,1,0,1
UGA,Uganda,Ouganda,43.4993095,2151.6788215,0.541,120.4675,0.135060384,72.7705,20.63,23.7065,63.1715,16.733,57.2726,33.807619,4.018,3.802,200,24.1,91.0075,Eastern Africa,1,0,1,0,1
ZAF,South Africa,Afrique du Sud,58.1753935,12556.280175,0.708,68.4165,8.090356956,5.1275,71.846,56.1674,63.9935,27.621,153.25,28.490947,2.536,8.1795,520,66.65,44.2375,Southern Africa,0,0,1,0,1
ZMB,Zambia,Zambie,17.606374,3500.51193,0.583,122.185,0.301295988,49.05,40.092,14.3,63.7,17.592,89.157,40.446619,-0.467,3.962,346,43.8,84.036,Eastern Africa,1,0,1,0,1
ZWE,Zimbabwe,Zimbabwe,14.5421425,2982.9890165,0.57,88.9735,0.849287912,66.4255,26.8395,27.0555,61.3425,18.668,89.4049,33.900401,-8.15,5.4055,210,32.2,77.2085,Eastern Africa,1,0,1,0,1
